pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
51652.0,53680.0,50819.0,42871.0
50285.0,54258.0,50583.0,43013.0
48323.0,53112.0,53133.0,42897.0
49573.0,51500.0,52192.0,45476.0
35050.0,37585.0,60102.0,57053.0
47590.0,49671.0,54433.0,50205.0
49799.0,50278.0,53402.0,49105.0
51571.0,51618.0,52469.0,48124.0
50445.0,52558.0,53067.0,46410.0
52726.0,51972.0,52501.0,44224.0
52340.0,54259.0,50591.0,43593.0
53962.0,52109.0,49717.0,44928.0
55407.0,51630.0,47193.0,46240.0
54368.0,53322.0,48109.0,44399.0
37034.0,36218.0,59931.0,57952.0
48048.0,52155.0,54695.0,47708.0
48714.0,51059.0,55811.0,48628.0
49961.0,51792.0,54576.0,48754.0
51199.0,50365.0,56422.0,47539.0
52593.0,52834.0,53393.0,49299.0
55769.0,52558.0,50452.0,48862.0
55109.0,52925.0,50917.0,47963.0
53802.0,55159.0,52589.0,45042.0
53306.0,55834.0,52707.0,44233.0
36521.0,40127.0,60950.0,57966.0
50442.0,50717.0,55391.0,50509.0
50183.0,51754.0,55680.0,49598.0
52665.0,53270.0,54082.0,49092.0
53035.0,52086.0,53628.0,50135.0
53488.0,51632.0,52930.0,50427.0
53896.0,52268.0,52592.0,49571.0
53496.0,54456.0,52936.0,47477.0
54013.0,52686.0,51635.0,50693.0
55420.0,52177.0,50980.0,50360.0
54017.0,52804.0,52758.0,49869.0
45439.0,47472.0,58714.0,54720.0
49900.0,53487.0,55945.0,48996.0
51342.0,53512.0,55001.0,48869.0
51795.0,53774.0,53772.0,49967.0
52258.0,54233.0,53704.0,48406.0
50770.0,54392.0,54582.0,47627.0
50814.0,54111.0,54092.0,47348.0
50835.0,54856.0,52970.0,47236.0
51623.0,54067.0,51833.0,47809.0
49303.0,55543.0,52430.0,46686.0
50115.0,53613.0,52992.0,46337.0
51401.0,51567.0,51771.0,49887.0
49877.0,51543.0,53620.0,48568.0
50397.0,51216.0,53531.0,48546.0
50387.0,51095.0,53581.0,48950.0
50157.0,53131.0,53275.0,48222.0
51576.0,51198.0,52566.0,49083.0
50945.0,51712.0,53189.0,47549.0
50535.0,50763.0,53373.0,48234.0
50535.0,51388.0,53607.0,48211.0
51268.0,51234.0,54909.0,45935.0
50789.0,50973.0,54790.0,47377.0
51316.0,51818.0,54008.0,48174.0
55260.0,50564.0,50106.0,50691.0
59701.0,43008.0,54972.0,43042.0
52905.0,50846.0,53825.0,48036.0
50991.0,52221.0,54263.0,48151.0
55895.0,48053.0,49969.0,50862.0
54765.0,50703.0,51012.0,48128.0
53310.0,52929.0,52801.0,46423.0
60851.0,38324.0,36724.0,57555.0
53966.0,50746.0,50168.0,49084.0
52787.0,49659.0,51048.0,48242.0
51596.0,51267.0,52006.0,45618.0
49251.0,51505.0,52703.0,43697.0
47514.0,50354.0,54173.0,41896.0
47667.0,51265.0,52271.0,41405.0
47819.0,51884.0,52010.0,40741.0
49491.0,49298.0,50158.0,42477.0
48646.0,46256.0,51474.0,43365.0
